job_id,workload_type,gpu_type,runtime_hours,processing_time_slots,cloud_cost_usd,deadline_type,deadline_hours,deadline_slots,density
45,inference_pipeline,T4,1.79,4,1.06,moderate,108.2,217,0.265
46,inference_pipeline,T4,1.44,3,0.83,relaxed,354.6,710,0.2767
47,model_training_small,T4,0.75,2,0.34,moderate,113.1,227,0.17
48,model_training_small,T4,1.79,4,0.81,relaxed,366.8,734,0.2025
49,data_preprocessing,T4,0.88,2,0.42,moderate,58.2,117,0.21
50,data_preprocessing,T4,0.85,2,0.47,moderate,165.1,331,0.235
51,model_training_large,P100,4.51,10,6.19,soon,14.8,30,0.619
52,data_preprocessing,T4,1.54,4,0.86,soon,18.2,37,0.215
53,data_preprocessing,T4,0.45,1,0.26,moderate,81.6,164,0.26
54,ensemble_submission,P100,4.74,10,7.21,soon,20.9,42,0.721
55,model_training_small,T4,2.16,5,1.01,urgent,2.4,6,0.202
56,inference_pipeline,T4,1.47,3,0.68,moderate,104.8,210,0.2267
57,data_preprocessing,T4,0.69,2,0.37,moderate,53.4,107,0.185
58,model_training_small,T4,2.07,5,1.21,moderate,67.6,136,0.242
59,data_preprocessing,T4,0.9,2,0.49,relaxed,485.7,972,0.245
60,model_training_small,T4,2.09,5,1.12,relaxed,381.1,763,0.224
61,ensemble_submission,P100,5.19,11,6.66,urgent,2.2,12,0.6055
62,data_preprocessing,T4,0.97,2,0.48,relaxed,180.8,362,0.24
63,inference_pipeline,T4,0.69,2,0.38,moderate,153.3,307,0.19
64,fine_tuning_llm,V100,9.79,20,25.34,moderate,144.8,290,1.267
65,ensemble_submission,P100,2.98,6,4.76,soon,45.5,92,0.7933
66,inference_pipeline,T4,1.05,3,0.59,urgent,11.0,23,0.1967
67,model_training_large,P100,7.51,16,12.37,soon,12.4,25,0.7731
68,ensemble_submission,P100,1.4,3,2.35,relaxed,484.5,970,0.7833
69,model_training_large,P100,4.93,10,6.89,moderate,138.3,277,0.689
70,inference_pipeline,T4,1.5,3,0.79,urgent,7.5,15,0.2633
71,model_training_small,T4,2.64,6,1.23,urgent,9.6,20,0.205
72,model_training_large,P100,2.48,5,3.88,urgent,10.2,21,0.776
73,fine_tuning_llm,V100,3.42,7,11.24,soon,25.3,51,1.6057
74,inference_pipeline,T4,2.09,5,1.18,soon,15.0,31,0.236
75,inference_pipeline,T4,1.21,3,0.71,urgent,6.9,14,0.2367
76,data_preprocessing,T4,0.69,2,0.32,urgent,8.5,17,0.16
77,fine_tuning_llm,V100,9.01,19,24.87,soon,43.3,87,1.3089
78,model_training_small,T4,2.62,6,1.57,urgent,10.9,22,0.2617
79,model_training_large,P100,8.19,17,12.25,relaxed,456.8,914,0.7206
80,model_training_large,P100,6.81,14,10.41,moderate,156.1,313,0.7436
81,data_preprocessing,T4,0.54,2,0.31,moderate,122.4,245,0.155
82,model_training_small,T4,0.96,2,0.49,moderate,57.3,115,0.245
83,ensemble_submission,P100,6.17,13,9.18,soon,41.3,83,0.7062
84,fine_tuning_llm,V100,4.83,10,15.19,relaxed,568.6,1138,1.519
85,model_training_large,P100,5.35,11,8.76,urgent,2.3,12,0.7964
86,model_training_small,T4,2.77,6,1.31,moderate,93.7,188,0.2183
87,ensemble_submission,P100,5.56,12,8.12,soon,21.8,44,0.6767
88,data_preprocessing,T4,1.39,3,0.84,relaxed,474.6,950,0.28
89,inference_pipeline,T4,2.04,5,0.99,moderate,63.5,127,0.198
90,ensemble_submission,P100,3.81,8,5.91,moderate,91.0,182,0.7388
91,data_preprocessing,T4,1.04,3,0.59,moderate,150.3,301,0.1967
92,model_training_large,P100,6.37,13,9.12,urgent,2.3,14,0.7015
93,inference_pipeline,T4,1.39,3,0.67,urgent,2.1,5,0.2233
94,model_training_small,T4,1.93,4,1.0,relaxed,360.2,721,0.25
95,model_training_large,P100,7.33,15,11.2,relaxed,692.1,1385,0.7467
96,data_preprocessing,T4,1.4,3,0.68,moderate,165.6,332,0.2267
97,model_training_small,T4,1.36,3,0.65,urgent,3.3,7,0.2167
98,data_preprocessing,T4,0.29,1,0.16,soon,24.4,49,0.16
99,inference_pipeline,T4,1.12,3,0.53,soon,13.5,27,0.1767
100,data_preprocessing,T4,0.46,1,0.21,urgent,6.6,14,0.21
101,model_training_small,T4,1.41,3,0.78,urgent,10.0,20,0.26
102,model_training_large,P100,2.76,6,4.58,urgent,4.8,10,0.7633
103,inference_pipeline,T4,1.46,3,0.7,soon,29.4,59,0.2333
104,model_training_large,P100,4.55,10,7.2,urgent,4.5,11,0.72
105,fine_tuning_llm,V100,11.08,23,32.08,urgent,6.5,24,1.3948
106,model_training_large,P100,3.53,8,5.01,urgent,5.2,11,0.6262
107,model_training_small,T4,1.22,3,0.71,moderate,129.5,259,0.2367
108,inference_pipeline,T4,1.03,3,0.55,moderate,137.5,275,0.1833
109,model_training_small,T4,0.78,2,0.39,moderate,116.5,233,0.195
110,model_training_small,T4,3.03,7,1.46,urgent,3.5,8,0.2086
111,model_training_small,T4,0.85,2,0.41,soon,44.3,89,0.205
112,data_preprocessing,T4,0.82,2,0.49,urgent,6.0,12,0.245
113,ensemble_submission,P100,5.67,12,7.74,soon,36.1,73,0.645
114,ensemble_submission,P100,3.84,8,5.28,moderate,70.4,141,0.66
115,model_training_small,T4,1.57,4,0.76,urgent,8.1,17,0.19
116,model_training_small,T4,1.82,4,0.95,moderate,54.2,109,0.2375
117,model_training_small,T4,0.76,2,0.46,soon,41.2,83,0.23
118,model_training_small,T4,2.32,5,1.26,moderate,97.4,195,0.252
119,model_training_small,T4,3.01,7,1.8,urgent,9.3,19,0.2571
120,ensemble_submission,P100,1.74,4,2.75,moderate,149.0,299,0.6875
121,data_preprocessing,T4,1.14,3,0.54,soon,41.3,83,0.18
122,fine_tuning_llm,V100,7.49,15,23.9,soon,41.4,83,1.5933
123,model_training_small,T4,1.43,3,0.71,moderate,108.3,217,0.2367
124,model_training_small,T4,2.69,6,1.43,relaxed,512.6,1026,0.2383
125,data_preprocessing,T4,1.45,3,0.72,urgent,9.9,20,0.24
126,model_training_large,P100,6.19,13,9.9,soon,23.2,47,0.7615
127,model_training_small,T4,2.14,5,1.14,moderate,153.2,307,0.228
128,model_training_small,T4,2.35,5,1.37,urgent,6.0,12,0.274
129,inference_pipeline,T4,0.48,1,0.27,moderate,124.9,250,0.27
130,fine_tuning_llm,V100,7.49,15,20.49,soon,44.7,90,1.366
131,model_training_large,P100,4.77,10,7.97,soon,33.1,67,0.797
132,model_training_large,P100,5.67,12,9.29,relaxed,480.0,960,0.7742
133,fine_tuning_llm,V100,11.77,24,30.22,moderate,120.8,242,1.2592
134,model_training_small,T4,2.54,6,1.51,moderate,61.6,124,0.2517
135,ensemble_submission,P100,4.8,10,7.97,relaxed,454.4,909,0.797
136,model_training_large,P100,4.37,9,6.11,relaxed,170.6,342,0.6789
137,model_training_small,T4,1.51,4,0.89,soon,24.5,49,0.2225
138,fine_tuning_llm,V100,6.68,14,18.88,urgent,3.8,15,1.3486
139,model_training_small,T4,1.68,4,0.84,moderate,123.9,248,0.21
140,data_preprocessing,T4,0.96,2,0.58,urgent,6.1,13,0.29
141,data_preprocessing,T4,1.5,3,0.81,urgent,9.5,19,0.27
142,model_training_small,T4,2.58,6,1.23,urgent,6.7,14,0.205
143,model_training_large,P100,2.6,6,3.77,moderate,100.9,202,0.6283
144,model_training_small,T4,1.77,4,0.84,relaxed,690.3,1381,0.21
145,model_training_small,T4,1.21,3,0.62,urgent,3.6,8,0.2067
146,fine_tuning_llm,V100,8.09,17,21.25,soon,36.2,73,1.25
147,data_preprocessing,T4,0.26,1,0.13,moderate,76.6,154,0.13
148,data_preprocessing,T4,0.46,1,0.27,relaxed,387.2,775,0.27
149,fine_tuning_llm,V100,4.64,10,14.89,urgent,2.9,11,1.489
