job_id,workload_type,gpu_type,runtime_hours,processing_time_slots,cloud_cost_usd,deadline_type,deadline_hours,deadline_slots,density
27,inference_pipeline,T4,1.91,4,1.08,urgent,6.6,14,0.27
28,model_training_small,T4,2.61,6,1.45,urgent,4.1,9,0.2417
29,data_preprocessing,T4,1.19,3,0.67,moderate,107.2,215,0.2233
30,model_training_small,T4,0.94,2,0.52,relaxed,349.9,700,0.26
31,ensemble_submission,P100,3.82,8,5.47,relaxed,439.9,880,0.6838
32,fine_tuning_llm,V100,3.34,7,10.88,relaxed,374.1,749,1.5543
33,data_preprocessing,T4,1.18,3,0.54,soon,28.9,58,0.18
34,model_training_small,T4,2.09,5,1.13,soon,23.1,47,0.226
35,model_training_small,T4,1.25,3,0.64,moderate,105.9,212,0.2133
36,fine_tuning_llm,V100,9.9,20,32.14,soon,41.1,83,1.607
37,model_training_small,T4,0.52,2,0.27,soon,38.7,78,0.135
38,model_training_small,T4,1.96,4,1.11,moderate,127.7,256,0.2775
39,data_preprocessing,T4,1.55,4,0.83,moderate,98.6,198,0.2075
40,model_training_small,T4,1.89,4,0.91,soon,14.1,29,0.2275
41,model_training_small,T4,1.13,3,0.52,soon,30.4,61,0.1733
42,model_training_small,T4,2.38,5,1.15,urgent,2.7,6,0.23
43,inference_pipeline,T4,2.05,5,1.04,moderate,87.8,176,0.208
44,data_preprocessing,T4,0.35,1,0.17,moderate,137.1,275,0.17
45,inference_pipeline,T4,0.56,2,0.3,relaxed,182.8,366,0.15
46,ensemble_submission,P100,5.65,12,7.56,relaxed,470.9,942,0.63
47,inference_pipeline,T4,1.6,4,0.83,moderate,100.8,202,0.2075
48,model_training_small,T4,2.97,6,1.78,relaxed,615.9,1232,0.2967
49,data_preprocessing,T4,0.4,1,0.19,moderate,82.5,166,0.19
50,model_training_small,T4,1.6,4,0.85,moderate,109.3,219,0.2125
51,model_training_small,T4,1.31,3,0.7,soon,29.9,60,0.2333
52,inference_pipeline,T4,0.79,2,0.38,moderate,121.2,243,0.19
53,model_training_large,P100,4.12,9,6.26,soon,43.5,88,0.6956
54,inference_pipeline,T4,0.71,2,0.37,soon,32.9,66,0.185
55,model_training_small,T4,1.12,3,0.64,relaxed,675.8,1352,0.2133
56,model_training_small,T4,2.25,5,1.36,relaxed,446.4,893,0.272
57,data_preprocessing,T4,0.19,1,0.11,soon,17.9,36,0.11
58,ensemble_submission,P100,5.55,12,7.64,relaxed,246.4,493,0.6367
59,model_training_large,P100,5.23,11,8.06,relaxed,265.8,532,0.7327
60,inference_pipeline,T4,1.46,3,0.74,soon,37.6,76,0.2467
61,model_training_small,T4,0.8,2,0.44,moderate,121.6,244,0.22
62,fine_tuning_llm,V100,8.1,17,22.79,soon,41.0,83,1.3406
63,model_training_small,T4,3.01,7,1.58,urgent,3.0,8,0.2257
64,ensemble_submission,P100,1.58,4,2.6,soon,38.6,78,0.65
65,model_training_large,P100,5.79,12,8.09,moderate,103.4,207,0.6742
66,inference_pipeline,T4,1.75,4,0.94,moderate,123.7,248,0.235
67,inference_pipeline,T4,0.92,2,0.51,moderate,156.6,314,0.255
68,model_training_small,T4,2.83,6,1.56,moderate,82.9,166,0.26
69,inference_pipeline,T4,0.94,2,0.47,urgent,3.5,7,0.235
70,inference_pipeline,T4,1.03,3,0.56,moderate,54.3,109,0.1867
71,ensemble_submission,P100,5.09,11,8.09,moderate,132.3,265,0.7355
72,model_training_small,T4,2.91,6,1.73,relaxed,672.3,1345,0.2883
73,inference_pipeline,T4,1.27,3,0.69,moderate,104.2,209,0.23
74,model_training_small,T4,1.43,3,0.79,moderate,127.2,255,0.2633
75,model_training_large,P100,6.37,13,8.21,moderate,119.4,239,0.6315
76,fine_tuning_llm,V100,3.52,8,11.21,relaxed,676.4,1353,1.4013
77,model_training_large,P100,4.09,9,6.73,soon,22.3,45,0.7478
78,inference_pipeline,T4,0.93,2,0.51,urgent,6.3,13,0.255
79,model_training_small,T4,2.51,6,1.22,urgent,9.7,20,0.2033
80,model_training_small,T4,2.11,5,1.16,relaxed,448.0,897,0.232
81,model_training_small,T4,0.94,2,0.43,soon,30.8,62,0.215
82,fine_tuning_llm,V100,6.3,13,15.92,moderate,89.7,180,1.2246
83,model_training_large,P100,2.23,5,3.08,moderate,83.1,167,0.616
84,data_preprocessing,T4,1.31,3,0.7,urgent,10.4,21,0.2333
85,inference_pipeline,T4,1.9,4,1.1,soon,14.1,29,0.275
86,model_training_large,P100,6.03,13,10.21,relaxed,373.7,748,0.7854
87,inference_pipeline,T4,0.44,1,0.23,relaxed,547.1,1095,0.23
88,inference_pipeline,T4,0.37,1,0.19,urgent,11.7,24,0.19
89,fine_tuning_llm,V100,7.07,15,18.07,relaxed,349.3,699,1.2047
90,ensemble_submission,P100,4.91,10,6.47,relaxed,300.3,601,0.647
91,inference_pipeline,T4,0.65,2,0.32,soon,17.3,35,0.16
92,model_training_large,P100,7.97,16,10.76,relaxed,200.9,402,0.6725
93,model_training_small,T4,3.05,7,1.7,relaxed,600.1,1201,0.2429
94,fine_tuning_llm,V100,4.42,9,11.42,urgent,9.9,20,1.2689
95,ensemble_submission,P100,4.58,10,7.31,urgent,9.8,20,0.731
96,model_training_small,T4,1.1,3,0.65,moderate,112.3,225,0.2167
97,inference_pipeline,T4,0.77,2,0.45,soon,16.6,34,0.225
98,fine_tuning_llm,V100,9.07,19,27.63,soon,25.6,52,1.4542
99,ensemble_submission,P100,4.58,10,6.6,relaxed,517.7,1036,0.66
100,model_training_large,P100,6.38,13,10.04,moderate,86.5,174,0.7723
101,ensemble_submission,P100,3.13,7,4.27,soon,22.5,46,0.61
102,model_training_large,P100,6.96,14,9.08,moderate,80.2,161,0.6486
103,ensemble_submission,P100,5.21,11,8.21,soon,30.6,62,0.7464
104,data_preprocessing,T4,0.88,2,0.49,moderate,163.8,328,0.245
105,data_preprocessing,T4,1.3,3,0.78,relaxed,552.5,1105,0.26
106,model_training_small,T4,2.69,6,1.41,moderate,138.6,278,0.235
107,inference_pipeline,T4,0.83,2,0.43,soon,47.3,95,0.215
108,model_training_small,T4,1.36,3,0.64,relaxed,244.4,489,0.2133
109,data_preprocessing,T4,0.31,1,0.15,soon,36.3,73,0.15
110,model_training_small,T4,2.31,5,1.33,soon,38.6,78,0.266
111,data_preprocessing,T4,1.16,3,0.69,moderate,134.8,270,0.23
112,model_training_large,P100,9.49,19,15.11,urgent,5.9,20,0.7953
113,fine_tuning_llm,V100,11.4,23,36.17,urgent,4.3,24,1.5726
114,model_training_large,P100,3.73,8,6.24,soon,28.5,58,0.78
115,ensemble_submission,P100,2.71,6,3.8,soon,31.9,64,0.6333
116,fine_tuning_llm,V100,3.37,7,9.87,moderate,56.7,114,1.41
117,model_training_small,T4,1.34,3,0.77,soon,41.2,83,0.2567
118,data_preprocessing,T4,0.96,2,0.51,soon,17.6,36,0.255
119,fine_tuning_llm,V100,8.24,17,23.12,moderate,57.9,116,1.36
