job_id,workload_type,gpu_type,runtime_hours,processing_time_slots,cloud_cost_usd,deadline_type,deadline_hours,deadline_slots,density
45,inference_pipeline,T4,1.79,4,1.06,moderate,108.2,217,0.265
46,inference_pipeline,T4,1.44,3,0.83,relaxed,354.6,710,0.2767
47,model_training_small,T4,0.75,2,0.34,moderate,113.1,227,0.17
48,model_training_small,T4,1.79,4,0.81,relaxed,366.8,734,0.2025
49,data_preprocessing,T4,0.88,2,0.42,moderate,58.2,117,0.21
50,data_preprocessing,T4,0.85,2,0.47,moderate,165.1,331,0.235
51,model_training_large,P100,4.51,10,6.19,soon,14.8,30,0.619
52,data_preprocessing,T4,1.54,4,0.86,soon,18.2,37,0.215
53,data_preprocessing,T4,0.45,1,0.26,moderate,81.6,164,0.26
54,ensemble_submission,P100,4.74,10,7.21,soon,20.9,42,0.721
55,model_training_small,T4,2.16,5,1.01,urgent,2.4,6,0.202
56,inference_pipeline,T4,1.47,3,0.68,moderate,104.8,210,0.2267
57,data_preprocessing,T4,0.69,2,0.37,moderate,53.4,107,0.185
58,model_training_small,T4,2.07,5,1.21,moderate,67.6,136,0.242
59,data_preprocessing,T4,0.9,2,0.49,relaxed,485.7,972,0.245
60,model_training_small,T4,2.09,5,1.12,relaxed,381.1,763,0.224
61,ensemble_submission,P100,5.19,11,6.66,urgent,2.2,12,0.6055
62,data_preprocessing,T4,0.97,2,0.48,relaxed,180.8,362,0.24
63,inference_pipeline,T4,0.69,2,0.38,moderate,153.3,307,0.19
64,fine_tuning_llm,V100,9.79,20,25.34,moderate,144.8,290,1.267
65,ensemble_submission,P100,2.98,6,4.76,soon,45.5,92,0.7933
66,inference_pipeline,T4,1.05,3,0.59,urgent,11.0,23,0.1967
67,model_training_large,P100,7.51,16,12.37,soon,12.4,25,0.7731
68,ensemble_submission,P100,1.4,3,2.35,relaxed,484.5,970,0.7833
69,model_training_large,P100,4.93,10,6.89,moderate,138.3,277,0.689
70,inference_pipeline,T4,1.5,3,0.79,urgent,7.5,15,0.2633
71,model_training_small,T4,2.64,6,1.23,urgent,9.6,20,0.205
72,model_training_large,P100,2.48,5,3.88,urgent,10.2,21,0.776
73,fine_tuning_llm,V100,3.42,7,11.24,soon,25.3,51,1.6057
74,inference_pipeline,T4,2.09,5,1.18,soon,15.0,31,0.236
75,inference_pipeline,T4,1.21,3,0.71,urgent,6.9,14,0.2367
76,data_preprocessing,T4,0.69,2,0.32,urgent,8.5,17,0.16
77,fine_tuning_llm,V100,9.01,19,24.87,soon,43.3,87,1.3089
78,model_training_small,T4,2.62,6,1.57,urgent,10.9,22,0.2617
79,model_training_large,P100,8.19,17,12.25,relaxed,456.8,914,0.7206
